Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Carlos Santana 1B | ARI,495,63,116,74,23,0,19,70,61,98,6,0,0.234,0.32,0.396,448
Nate Lowe 1B | CIN ,550,72,138,93,26,2,17,78,75,150,1,0,0.251,0.343,0.398,441
Nolan Arenado 3B | ARI ,513,63,134,93,22,1,18,72,38,81,3,2,0.261,0.314,0.413,439
"Otto Lopez 2B,SS | MIA",474,58,122,90,22,0,10,58,34,78,18,5,0.257,0.309,0.367,433
Austin Riley 3B | ATL ,492,78,132,80,26,2,24,69,41,139,2,1,0.268,0.329,0.476,433
Luis Robert OF | NYM ,440,63,106,62,22,0,22,56,33,142,25,6,0.241,0.3,0.441,432
Drake Baldwin C | ATL ,405,56,111,72,18,2,19,80,38,68,0,0,0.274,0.341,0.469,426
Andy Pages OF | LAD,492,70,129,83,25,1,20,66,29,122,8,4,0.262,0.31,0.439,426
James Wood OF | WAS,446,65,116,68,26,2,20,68,62,159,14,8,0.26,0.352,0.462,425
Bo Bichette SS | NYM,488,59,142,96,30,2,14,66,29,90,5,2,0.291,0.333,0.447,417
Brenton Doyle OF | COL ,481,62,113,72,21,4,16,59,33,147,23,4,0.235,0.284,0.395,415
Jake Cronenworth 2B | SD ,485,62,116,75,24,4,13,63,59,107,5,2,0.239,0.333,0.386,412
Max Muncy 3B | LAD,344,63,78,39,15,1,23,73,65,104,2,1,0.227,0.354,0.477,407
"Alec Burleson 1B,OF | STL",453,53,123,84,22,1,16,61,32,67,6,2,0.272,0.321,0.43,405
"Willi Castro 2B,3B,OF | COL ",439,69,107,70,22,4,11,42,42,120,19,6,0.244,0.329,0.387,404
Brandon Lowe 2B | PIT,423,64,104,61,18,1,24,70,40,127,5,1,0.246,0.314,0.463,397
Ha-seong Kim SS | ATL ,371,54,91,65,14,1,11,41,50,80,22,5,0.245,0.336,0.377,396
"Ryan O'Hearn 1B,OF | PIT",421,58,117,79,21,2,15,61,40,87,4,1,0.278,0.344,0.444,393
Sal Frelick OF | MIL ,398,57,107,81,17,3,6,40,38,65,15,3,0.269,0.336,0.372,383
Andrew Vaughn 1B | MIL ,514,52,130,84,27,1,18,72,35,114,1,0,0.253,0.307,0.414,381
Ezequiel Tovar SS | COL,532,69,138,84,33,4,17,61,23,155,7,4,0.259,0.292,0.432,379
Jake Mangum OF | PIT,405,37,120,98,18,1,3,40,19,64,27,6,0.296,0.33,0.368,379
Matt Shaw 3B | CHC ,393,57,89,52,21,3,13,44,38,94,17,5,0.227,0.295,0.394,376
Lars Nootbaar OF | STL ,428,60,105,68,22,2,13,46,63,99,7,3,0.245,0.344,0.397,371
Brandon Marsh OF | PHI ,400,57,107,68,22,4,13,54,49,136,12,2,0.268,0.347,0.44,366
Pete Crow-Armstrong OF | CHC,326,47,78,44,17,3,14,48,18,87,21,4,0.239,0.285,0.439,364
J.T. Realmuto C | PHI,457,59,118,77,24,2,15,54,32,123,9,3,0.258,0.316,0.418,363
Harrison Bader OF | SF ,390,54,98,67,18,1,12,48,26,97,16,6,0.251,0.307,0.395,356
Tommy Pham OF | PIT,419,49,105,70,21,2,12,53,44,102,11,3,0.251,0.322,0.396,354
Mike Yastrzemski OF | ATL ,412,61,96,53,22,4,17,49,52,110,4,2,0.233,0.323,0.43,353
Oneil Cruz OF | PIT ,348,47,81,47,18,2,14,47,41,121,21,2,0.233,0.315,0.417,351
Andrew McCutchen DH | PIT,438,57,106,71,20,0,15,50,67,117,5,2,0.242,0.346,0.39,350
Ty France 1B | SD ,503,58,124,86,27,0,11,54,34,105,1,0,0.246,0.322,0.366,348
Max Kepler OF | PHI ,408,58,99,60,21,1,17,53,38,93,2,0,0.243,0.311,0.424,347
Justin Turner 1B | CHC,396,53,103,70,21,0,12,56,42,81,2,1,0.26,0.339,0.404,345
"Luis Rengifo 2B,3B | MIL",393,50,103,75,15,3,10,41,30,77,13,6,0.262,0.319,0.392,341
Jorge Polanco 2B | NYM ,397,48,97,58,20,0,19,57,41,102,5,2,0.244,0.318,0.438,339
Alex Verdugo OF | SD ,434,59,107,71,25,2,9,42,36,72,3,1,0.246,0.305,0.376,336
Daylen Lile OF | WAS,321,51,96,61,15,11,9,41,21,56,8,6,0.299,0.347,0.498,336
Jonah Heim C | ATL,437,48,101,69,18,0,14,66,33,91,2,0,0.231,0.286,0.368,332
Michael Busch 1B | CHC ,364,53,91,51,19,2,19,54,42,109,2,0,0.25,0.334,0.47,329
Ke'Bryan Hayes 3B | CIN,462,51,114,84,19,3,8,45,29,97,11,4,0.247,0.294,0.353,325
"Mauricio Dubon 2B,3B,SS,OF | ATL ",413,55,109,77,24,1,7,42,20,56,4,1,0.264,0.299,0.378,325
Michael Conforto OF | CHC ,421,56,95,58,20,1,16,53,50,115,2,0,0.226,0.316,0.392,322
"Tommy Edman 2B,OF | LAD ",321,46,77,50,14,2,11,39,22,58,12,2,0.24,0.295,0.399,318
Ramon Laureano OF | SD,363,51,93,56,20,2,15,48,28,110,9,3,0.256,0.322,0.446,317
Mickey Moniak OF | COL ,379,48,97,57,19,4,17,54,17,112,8,3,0.256,0.292,0.462,317
Masyn Winn SS | STL ,400,55,101,70,20,2,9,40,28,79,7,4,0.253,0.304,0.38,317
"Xavier Edwards 2B,SS | MIA",301,42,90,74,12,3,1,24,28,51,21,4,0.299,0.358,0.369,316
Jake McCarthy OF | COL,308,40,78,58,9,6,5,31,22,60,19,3,0.253,0.316,0.37,311
Tyler Stephenson C | CIN,407,56,100,63,21,1,15,57,44,123,0,1,0.246,0.325,0.413,308
Christopher Morel OF | MIA ,400,52,87,51,15,2,19,54,41,134,7,4,0.217,0.297,0.407,304
Jung Hoo Lee OF | SF,352,44,94,65,18,6,5,32,28,42,6,3,0.267,0.326,0.395,303
Keibert Ruiz C | WAS ,412,40,101,71,19,0,11,50,18,46,1,1,0.245,0.283,0.371,303
J.J. Bleday OF | CIN ,378,52,85,45,24,1,15,42,48,96,3,2,0.225,0.313,0.413,302
Heliot Ramos OF | SF,384,48,99,66,17,1,15,48,31,104,4,2,0.258,0.321,0.424,294
Mike Tauchman OF | NYM,323,53,82,57,16,1,8,39,49,81,4,1,0.254,0.357,0.384,293
