Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Billy Cook OF | PIT ,191,26,49,31,9,1,8,26,17,53,5,1,0.257,0.322,0.44,173
Pedro Leon OF | PHI,193,28,49,32,9,1,7,26,18,53,7,2,0.254,0.322,0.42,170
Jhostynxon Garcia OF | PIT,188,25,48,30,10,1,7,24,19,51,5,1,0.255,0.329,0.431,169
Esmerlyn Valdez OF | PIT,188,25,48,30,10,1,7,24,19,51,5,1,0.255,0.329,0.431,169
Jose Fermin 2B | STL ,191,23,50,33,11,1,5,24,17,42,5,1,0.262,0.327,0.408,168
Blake Dunn OF | CIN,186,27,45,27,9,1,8,25,19,58,5,1,0.242,0.321,0.43,167
Maximo Acosta 3B | MIA,193,25,50,32,9,1,8,25,17,49,3,1,0.259,0.324,0.44,164
Tristin English 1B | ATL ,193,23,49,30,11,1,7,27,19,47,2,0,0.254,0.326,0.43,163
Bryan Torres OF | STL,188,25,48,31,9,1,7,23,17,51,5,1,0.255,0.322,0.425,163
Abimelec Ortiz 1B | WAS,190,24,50,31,11,1,7,27,17,46,1,0,0.263,0.332,0.442,161
Rafael Flores 1B | PIT,186,23,48,30,10,1,7,25,21,48,2,0,0.258,0.338,0.435,159
Alex Freeland 3B | LAD ,192,26,49,32,9,2,6,24,19,49,3,1,0.255,0.327,0.417,159
Nicky Lopez 3B | COL ,188,25,53,37,8,5,3,18,19,38,3,2,0.282,0.355,0.425,159
Charlie Condon 1B | COL ,184,24,49,31,10,1,7,27,17,48,1,0,0.266,0.337,0.446,158
Tyler Austin OF | CHC ,157,23,40,24,8,1,7,22,15,41,5,1,0.255,0.326,0.452,157
Daniel Susac C | SF,187,24,47,30,9,1,7,27,17,49,1,0,0.251,0.322,0.422,153
Jesus Rodriguez C | SF,187,24,47,30,9,1,7,27,17,49,1,0,0.251,0.322,0.422,153
"Enrique Hernandez 1B,3B,OF | LAD ",173,26,43,27,8,1,7,26,14,47,2,0,0.249,0.302,0.428,152
Cesar Prieto 2B | STL,191,23,49,34,9,1,5,20,15,45,5,1,0.257,0.316,0.393,152
Vidal Brujan 3B | NYM ,188,26,47,31,11,1,4,19,20,42,3,2,0.25,0.327,0.383,150
Harry Ford C | WAS,193,22,48,32,9,1,6,24,14,49,1,0,0.249,0.308,0.399,138
Garrett Stubbs DH | PHI,157,22,40,26,7,1,6,21,17,45,3,1,0.255,0.333,0.427,137
Jeferson Quero C | MIL,162,21,40,26,8,0,6,23,14,41,1,0,0.247,0.313,0.407,131
Drew Millas C | WAS ,160,19,42,28,9,1,4,20,12,38,3,1,0.263,0.32,0.406,130
Joe Mack C | MIA ,161,19,40,26,8,0,6,22,14,42,1,0,0.248,0.315,0.41,124
Jimmy Crooks C | STL,191,21,44,29,8,1,6,22,14,53,1,0,0.23,0.292,0.377,123
Brett Sullivan C | COL ,154,19,38,25,7,0,6,22,13,44,1,0,0.247,0.311,0.409,120
DaShawn Keirsey OF | ATL ,131,16,30,19,5,1,5,16,10,35,6,1,0.229,0.292,0.397,119
Adael Amador 2B | COL,156,17,38,25,9,1,3,18,14,37,3,2,0.244,0.308,0.372,114
Hayden Senger C | NYM,161,20,36,24,7,0,5,21,14,43,1,0,0.224,0.287,0.36,109
Kyle McCann C | COL ,155,17,38,26,7,0,5,21,13,50,1,0,0.245,0.31,0.387,104
Ezequiel Pagan OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Garcia 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey Soltis OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexey Lumpuy OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduarqui Fernandez OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellon Lindsey SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Cova OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Josephina 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Wilson OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutter Dykstra OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryson Ware 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Vogel OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey Opitz C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashton McGee 2B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terence Doston OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Piron 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Romero 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Burkholder OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Diaz 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Alvarez 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Hansen OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eguy Rosario 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Chiu 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Pitelli SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Perozo C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Brown OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldrich De Jongh OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Head OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Santana 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Alamo 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Ruta OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axiel Plaz C | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Rivas SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Torres SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgleen Perez C | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yendry Rojas 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry McClure OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosman Verdugo 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Conrad OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Quintana C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Arby Myers OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Mount OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikau Pouaka-Grego 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Cumberland C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Salas C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Van Gansen SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryant Flete 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Wendle 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Batten 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Stewart OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Padlo 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Tilien SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Virahonda C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Henry OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Pinero SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Cerda C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Cowan 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Campos C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Binelas 1B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Milligan OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Evans OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max White OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Conley SS | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Mardirosian 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romeo Sanabria 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Hoo C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Ignoffo C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tra'mayne Holmes OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Jimenez SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Suozzi 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos De La Cruz OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Rodriguez 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Hernandez C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Skender SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashford Fulmer OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Ragsdale OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Hernandez C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Cespedes OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onix Vega C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Lewis OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Allen OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Voit 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Valerio OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andriel Lantigua C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Yang C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.C. Rodriguez 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanny Alfonzo 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Franco 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braedon Karpathios OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Smalling SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Paroubeck OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyron Campos OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estuar Suero OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Twine SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Carter OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Cohen OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Arroyo 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deacon Liput SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Carhart C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Heady SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Ward 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Lusignan 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliezer Alfonzo C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorvis Torrealba OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariel Bautista OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Arias SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yohairo Cuevas 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladimir Restituyo OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Encarnacion 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Lipscomb 3B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidel Pena 3B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodolfo Castro 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Navarreto C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Beer DH | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Urbaez 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Patten 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Langhorne 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Almora OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli Willits SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hansel Moreno SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoander Rivero SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Hearn OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik McClaughry SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Shaw 2B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auston Bousfield OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McGarry OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Masters SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ching-Hsien Ko OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden Duzenack SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naibel Mariano SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Pickens OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Bowser 3B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Fernandez SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Hyams 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Chevalier 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Soto C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Vasquez 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Sightler 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammy Siani OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Pino OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josue Huma 3B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Swain OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griffin Lockwood-Powell 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Farmer OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhonny Level SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson Landoni 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Cordoba OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Wilken 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Morabito OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Oberacker OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kervin Pichardo SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Rodgers 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Silverio OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Kennedy C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.J. Exposito SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keiner Delgado 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Maldonado OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Regis OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Jensen 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Schrier SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Tunink OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dariel Lopez 3B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Centeno C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD Kang OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Leyton SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleininger Teran 3B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage Miller 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Thompson 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul McIntosh C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Montesino OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli Serrano OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Pena SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Marrero SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnathon Thomas OF | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shalin Polanco OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Yurchak 1B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Malm 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Duarte C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Romeri OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Ritter 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Grier OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Blanco 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Carpenter DH | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Kilpatrick OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Hernandez SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branden Boissiere 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Butler 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trae Santos 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Miller SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Donahue 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Cave OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Harlan 3B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haydn McGeary 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Machado OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khayyan Norfork 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niko Goodrum OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren Saunders OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Clifford 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall George OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Ahmed 3B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avisail Garcia OF | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Horan OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Snyder 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yonathan Daza OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Medrano 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dexter Kjerstad OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Perez SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Perez 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Phillips SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayan Cortesia SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhett Wiseman OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Jones OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldrem Corredor OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Schwecke SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tres Barrera C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Benua OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiandido Tromp OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Martinez C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Parra 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusber Estrada C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Marzilli OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassidy Brown C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Dykstra 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Flores 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Ibarguen OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galli Cribbs 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomer White 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Schrock SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasmani Grandal C | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Zunica 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Cruz C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Luttrell OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Rojas 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Turner 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeison Santana SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Drake OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Lara OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Ventura 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Furman 2B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terence Dotson OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Guzman OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Gordon OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Turner C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Freeman 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Duplantis OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Cabada 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Artis OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Pineda OF | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Celedonio OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson Miller C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Owings SS | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Paciolla 3B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton Daniel 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malvin Valdez OF | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mac Wainwright OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Norwood OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graysen Tarlow C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuckie Robinson C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
